CustomerID,CustomerSegment,CardVariant,City,State
C000015,Affluent,Travel Platinum,Hyderabad,Telangana
C000016,Affluent,Gold,Bengaluru,Karnataka
C000017,Premium,Corporate,Bengaluru,Karnataka
C000019,Affluent,Corporate,Mumbai,Maharashtra
C000020,Premium,Membership Rewards,Gurugram,Haryana
C000030,Premium,Gold,Delhi,Delhi
C000034,Upper Middle,Gold,Pune,Maharashtra
C000040,Premium,Membership Rewards,Jaipur,Rajasthan
C000041,Mass Affluent,SmartEarn,Ahmedabad,Gujarat
C000043,Affluent,SmartEarn,Mumbai,Maharashtra
C000045,Premium,Travel Platinum,Bengaluru,Karnataka
C000048,Premium,Membership Rewards,Bengaluru,Karnataka
C000052,Premium,Platinum,Kolkata,West Bengal
C000053,Affluent,Membership Rewards,Bengaluru,Karnataka
C000056,Affluent,Platinum,Delhi,Delhi
C000057,Affluent,Platinum,Pune,Maharashtra
C000058,Upper Middle,Travel Platinum,Gurugram,Haryana
C000059,Premium,Membership Rewards,Bengaluru,Karnataka
C000061,Premium,Travel Platinum,Pune,Maharashtra
C000063,Premium,Gold,Mumbai,Maharashtra
C000064,Mass Affluent,SmartEarn,Bengaluru,Karnataka
C000067,Mass Affluent,SmartEarn,Mumbai,Maharashtra
C000068,Affluent,Platinum,Chennai,Tamil Nadu
C000069,Upper Middle,Membership Rewards,Bengaluru,Karnataka
C000070,Affluent,Gold,Delhi,Delhi
C000072,Premium,Gold,Delhi,Delhi
C000073,Affluent,SmartEarn,Hyderabad,Telangana
C000074,Upper Middle,Platinum,Kolkata,West Bengal
C000075,Affluent,Travel Platinum,Hyderabad,Telangana
C000077,Premium,Gold,Gurugram,Haryana
C000078,Affluent,Gold,Chennai,Tamil Nadu
C000079,Affluent,Platinum,Mumbai,Maharashtra
C000080,Premium,Travel Platinum,Mumbai,Maharashtra
C000081,Mass Affluent,Membership Rewards,Hyderabad,Telangana
C000082,Upper Middle,SmartEarn,Delhi,Delhi
C000083,Affluent,Membership Rewards,Bengaluru,Karnataka
C000084,Premium,Gold,Bengaluru,Karnataka
C000085,Premium,Gold,Delhi,Delhi
C000088,Affluent,Platinum,Pune,Maharashtra
C000092,Affluent,Platinum,Mumbai,Maharashtra
C000094,Premium,Gold,Bengaluru,Karnataka
C000096,Affluent,Membership Rewards,Pune,Maharashtra
