TransactionID,TransactionDate,FY,Quarter,Month,FiscalMonthOrder,CalendarYear,MonthNo,CustomerID,CardNetwork,CardVariant,CustomerSegment,City,State,MerchantCategory,MerchantName,Channel,TransactionAmount_INR
T00860322,2025-11-08,FY25-26,Q3,Nov-25,8,2025,11,C030935,AmEx,Gold,Premium,Delhi,Delhi,Luxury Retail,Rolex Boutique,POS,10556.0
T00469862,2025-10-27,FY25-26,Q3,Oct-25,7,2025,10,C016906,AmEx,Travel Platinum,Upper Middle,Chennai,Tamil Nadu,Travel,IRCTC,Online,12397.0
T00630943,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C022693,AmEx,Travel Platinum,Affluent,Kolkata,West Bengal,Dining,Swiggy Dineout,POS,952.0
T00713980,2025-04-23,FY25-26,Q1,Apr-25,1,2025,4,C025684,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Healthcare,Apollo Pharmacy,POS,490.0
T00577116,2025-07-04,FY25-26,Q2,Jul-25,4,2025,7,C020751,AmEx,Gold,Premium,Kolkata,West Bengal,Fuel,BPCL,POS,1136.0
T00877468,2026-01-31,FY25-26,Q4,Jan-26,10,2026,1,C031548,AmEx,Travel Platinum,Premium,Bengaluru,Karnataka,Entertainment,BookMyShow,Online,972.0
T00414868,2025-06-04,FY25-26,Q1,Jun-25,3,2025,6,C014914,AmEx,SmartEarn,Affluent,Gurugram,Haryana,Education,Coursera,POS,2789.0
T00052829,2025-04-09,FY25-26,Q1,Apr-25,1,2025,4,C001902,AmEx,SmartEarn,Affluent,Hyderabad,Telangana,Entertainment,Spotify,Online,708.0
T00608410,2025-06-04,FY25-26,Q1,Jun-25,3,2025,6,C021878,AmEx,SmartEarn,Upper Middle,Gurugram,Haryana,Dining,Zomato Dining,POS,628.0
T00128103,2026-02-21,FY25-26,Q4,Feb-26,11,2026,2,C004613,AmEx,Platinum,Premium,Mumbai,Maharashtra,E-commerce,Ajio,Online,3542.0
T00263813,2025-05-19,FY25-26,Q1,May-25,2,2025,5,C009508,AmEx,Membership Rewards,Affluent,Gurugram,Haryana,E-commerce,Nykaa,Online,979.0
T00791456,2025-06-14,FY25-26,Q1,Jun-25,3,2025,6,C028451,AmEx,Corporate,Affluent,Pune,Maharashtra,E-commerce,Flipkart,Online,4709.0
T00543478,2026-03-09,FY25-26,Q4,Mar-26,12,2026,3,C019549,AmEx,SmartEarn,Affluent,Delhi,Delhi,Dining,Starbucks,POS,652.0
T00438865,2025-04-01,FY25-26,Q1,Apr-25,1,2025,4,C015788,AmEx,Gold,Premium,Hyderabad,Telangana,Electronics,Reliance Digital,POS,3269.0
T00678670,2025-09-13,FY25-26,Q2,Sep-25,6,2025,9,C024407,AmEx,Corporate,Premium,Chennai,Tamil Nadu,Dining,Swiggy Dineout,POS,2116.0
T00723240,2025-05-19,FY25-26,Q1,May-25,2,2025,5,C026008,AmEx,Platinum,Affluent,Mumbai,Maharashtra,E-commerce,Myntra,Online,5404.0
T00019086,2025-12-22,FY25-26,Q3,Dec-25,9,2025,12,C000691,AmEx,Platinum,Premium,Mumbai,Maharashtra,E-commerce,Myntra,Online,5508.0
T00706212,2025-08-27,FY25-26,Q2,Aug-25,5,2025,8,C025403,AmEx,Travel Platinum,Premium,Hyderabad,Telangana,Travel,IndiGo,Online,8518.0
T00739992,2025-05-15,FY25-26,Q1,May-25,2,2025,5,C026605,AmEx,Travel Platinum,Premium,Gurugram,Haryana,Luxury Retail,Tata CLiQ Luxury,POS,8568.0
T00210718,2025-05-14,FY25-26,Q1,May-25,2,2025,5,C007599,AmEx,Travel Platinum,Premium,Gurugram,Haryana,Travel,IRCTC,Online,10560.0
T00466241,2026-03-31,FY25-26,Q4,Mar-26,12,2026,3,C016777,AmEx,Gold,Affluent,Pune,Maharashtra,Education,Great Learning,Online,2332.0
T00316743,2025-12-06,FY25-26,Q3,Dec-25,9,2025,12,C011395,AmEx,Membership Rewards,Affluent,Bengaluru,Karnataka,E-commerce,Ajio,Online,3146.0
T00568707,2025-04-06,FY25-26,Q1,Apr-25,1,2025,4,C020444,AmEx,Gold,Mass Affluent,Bengaluru,Karnataka,Healthcare,Apollo Hospitals,Online,552.0
